date,BTC-USD
2021-12-03,-0.05098586481791345
2021-12-04,-0.08204639683653359
2021-12-05,0.003417522933012007
2021-12-06,0.02458589579002135
2021-12-07,0.002322159783127109
2021-12-08,-0.00385184874717448
2021-12-09,-0.05608726213196957
2021-12-10,-0.00899511908452133
2021-12-11,0.044857216044006165
2021-12-12,0.014906619570362878
2021-12-13,-0.0670851717099511
2021-12-14,-0.00267125345649466
2021-12-15,0.04900151967252708
2021-12-16,-0.025181582897818466
2021-12-17,-0.030699007215741814
2021-12-18,0.013995731563123393
2021-12-19,-0.0030259427628138713
2021-12-20,0.003709543768351198
2021-12-21,0.04386356169401262
2021-12-22,-0.006295931447672265
2021-12-23,0.04433669194360079
2021-12-24,0.0007414904357732066
2021-12-25,-0.007719775485643066
2021-12-26,0.0075284019171428795
2021-12-27,-0.003328070621613999
2021-12-28,-0.06025942562091624
2021-12-29,-0.02404227880624954
2021-12-30,0.01579112126431248
2021-12-31,-0.018476352917798256
2022-01-01,0.029809396471367267
2022-01-02,-0.007163274962024402
2022-01-03,-0.0187368774698079
2022-01-04,-0.012065555013512697
2022-01-05,-0.050734060615097554
2022-01-06,-0.009366159015892994
2022-01-07,-0.03714070469186992
2022-01-08,0.004235994902819673
2022-01-09,0.004256970472081845
2022-01-10,-0.0021554853640055605
2022-01-11,0.021869109453241498
2022-01-12,0.028389418684672707
2022-01-13,-0.030888714484173407
2022-01-14,0.011930269358978673
2022-01-15,0.001802778677309158
2022-01-16,-0.0014711291913973579
2022-01-17,-0.020024366790964976
2022-01-18,0.0029604828561313745
2022-01-19,-0.014897823244158781
2022-01-20,-0.02548634039729203
2022-01-21,-0.10381165615712484
2022-01-22,-0.039143484680769114
2022-01-23,0.03558509252717301
2022-01-24,0.010406744495611076
2022-01-25,0.008175727030871549
2022-01-26,-0.002757016878562668
2022-01-27,0.007763821260712289
2022-01-28,0.017397102127314046
2022-01-29,0.00936493083845824
2022-01-30,-0.005783656346668664
2022-01-31,0.01491453610450133
2022-02-01,0.00676006528835682
2022-02-02,-0.046209029430310355
2022-02-03,0.005456046132945147
2022-02-04,0.116978066100073
2022-02-05,-0.001438787435204647
2022-02-06,0.023437312952531153
2022-02-07,0.033665872045371525
2022-02-08,0.0063448528050995545
2022-02-09,0.004994545046617338
2022-02-10,-0.01744935921313273
2022-02-11,-0.026561982607033352
2022-02-12,-0.0038546734323026133
2022-02-13,-0.001111462077505676
2022-02-14,0.009228086961576842
2022-02-15,0.04668769779745485
2022-02-16,-0.013759752216496501
2022-02-17,-0.07788223029977337
2022-02-18,-0.012507647384577658
2022-02-19,0.0022777282826873524
2022-02-20,-0.04214073972532317
2022-02-21,-0.03528620868790788
2022-02-22,0.03265642371222732
2022-02-23,-0.025843815613622922
2022-02-24,0.027778400368163814
2022-02-25,0.022998939789759643
2022-02-26,-0.002781397053842838
2022-02-27,-0.03568234201898368
2022-02-28,0.1454118392886461
2022-03-01,0.026888524570001016
2022-03-02,-0.009706302725009275
2022-03-03,-0.03351981142193561
2022-03-04,-0.07806935036049167
2022-03-05,0.00671938064683042
2022-03-06,-0.024887994408395286
2022-03-07,-0.009316643885282638
2022-03-08,0.017740259990833174
2022-03-09,0.08378639716414904
2022-03-10,-0.060630954045771346
2022-03-11,-0.016291319622939393
2022-03-12,0.002810649293818468
2022-03-13,-0.027101257933814904
2022-03-14,0.0480080837903738
2022-03-15,-0.008268101563720931
2022-03-16,0.04588714481344902
2022-03-17,-0.00467993171076464
2022-03-18,0.020750884742987363
2022-03-19,0.009317830622209256
2022-03-20,-0.022346848712323064
2022-03-21,-0.004117262624553253
2022-03-22,0.031180014163224357
2022-03-23,0.012610091153007819
2022-03-24,0.024898646221148013
2022-03-25,0.008821397620525806
2022-03-26,0.003429583093865096
2022-03-27,0.052126312256127294
2022-03-28,0.0065678873583499
2022-03-29,0.0071661546110000085
2022-03-30,-0.008491735032190584
2022-03-31,-0.03238210822970233
2022-04-01,0.016315115388267687
2022-04-02,-0.008917040798352427
2022-04-03,0.012745379989237415
2022-04-04,0.003640395949819908
2022-04-05,-0.02287907280900814
2022-04-06,-0.05156849392240015
2022-04-07,0.006876459247305178
2022-04-08,-0.02795577079433975
2022-04-09,0.011693070951357853
2022-04-10,-0.013427680050824398
2022-04-11,-0.06363225953812457
2022-04-12,0.015315083892861292
2022-04-13,0.025906300465151855
2022-04-14,-0.029908006531745968
2022-04-15,0.015473675726454417
2022-04-16,-0.0031805042860567623
2022-04-17,-0.017502542356175654
2022-04-18,0.027929174608607443
2022-04-19,0.016571096753378534
2022-04-20,-0.003093074404708074
2022-04-21,-0.020471984048854197
2022-04-22,-0.019420038833716236
2022-04-23,-0.0063811726165236005
2022-04-24,-0.0004416040475622163
2022-04-25,0.025057850055308917
2022-04-26,-0.057858267871623625
2022-04-27,0.029478882606909007
2022-04-28,0.013575224570606004
2022-04-29,-0.02926557389929385
2022-04-30,-0.023179313474195662
2022-05-01,0.019997911964443782
2022-05-02,0.001565786170879102
2022-05-03,-0.020215120218891713
2022-05-04,0.051599856624237495
2022-05-05,-0.07867402068901796
2022-05-06,-0.014606061408683924
2022-05-07,-0.014954355270636377
2022-05-08,-0.040636848764922684
2022-05-09,-0.11046369999353145
2022-05-10,0.02396125848050934
2022-05-11,-0.06725839173272163
2022-05-12,0.003849706798608521
2022-05-13,0.008102229834508146
2022-05-14,0.027939733537411415
2022-05-15,0.03999325713567892
2022-05-16,-0.046069001557128786
2022-05-17,0.018850785235190015
2022-05-18,-0.05605711989808215
2022-05-19,0.05550304428240649
